% The Solar-SPAM model = based on TIMED SEE data from 22.01.2002 to 24.11.2016 :  
% F(f) = p1*f^2 + p2*f + p3 
% F - photon energy flux,  [W m^-2 nm^-1]
% f == f107 - measured solar radio flux at 10.7 cm,  [10^-22 W m^-2]

%lambda  p1              p2              p3              CC    RMSE            I_aver           std         
86.5    -4.84412766e-10  2.36665683e-07  1.09788284e-05  0.94  1.44126953e-06  2.98570117e-05  4.17006337e-06 
87.5    -4.83254202e-10  2.68350608e-07  1.39973835e-05  0.94  1.85920378e-06  3.61805047e-05  5.25051849e-06 
88.5    -6.21282703e-10  3.37561898e-07  1.45738166e-05  0.94  2.27765383e-06  4.23205476e-05  6.49304115e-06 
89.5    -6.68966301e-10  3.86462205e-07  1.63709915e-05  0.93  2.80715372e-06  4.86356358e-05  7.78935400e-06 
90.5    -9.40447671e-10  4.91524881e-07  1.81668436e-05  0.93  3.38519060e-06  5.81473195e-05  9.23916105e-06 
91.5    -7.89804624e-10  4.23827993e-07  1.56806295e-05  0.94  2.81369582e-06  5.04033847e-05  8.07064382e-06 
92.5    -2.51717440e-10  1.25207391e-07  7.46452895e-06  0.95  7.21226067e-07  1.75056936e-05  2.22304655e-06 
93.5    -2.52576412e-10  1.27365730e-07  7.86103295e-06  0.95  7.08295267e-07  1.81162792e-05  2.27692209e-06 
94.5    -1.68630601e-10  8.97996451e-08  6.01452925e-06  0.95  5.30470738e-07  1.33563232e-05  1.67943262e-06 
95.5    -1.71120327e-10  8.22690427e-08  4.20933726e-06  0.95  4.36420483e-07  1.07395600e-05  1.41001178e-06 
96.5    -1.16976002e-10  5.79214134e-08  3.16068207e-06  0.95  3.17857028e-07  7.79951373e-06  1.01977392e-06 
97.5    -9.42103907e-10  7.84156346e-07  6.35681772e-05  0.89  9.05302834e-06  1.33926426e-04  1.99277615e-05 
98.5    -1.74979936e-10  9.39505851e-08  8.37957920e-06  0.94  6.18586716e-07  1.60777696e-05  1.78790601e-06 
99.5    -3.06874683e-10  1.63261897e-07  1.00132945e-05  0.95  9.92576035e-07  2.33577303e-05  3.06033738e-06 
100.5    -2.08354284e-10  1.12300476e-07  1.82943275e-06  0.95  6.70876385e-07  1.10406327e-05  2.11985029e-06 
101.5    -2.22515562e-10  1.04514427e-07  5.86589870e-06  0.95  5.33557018e-07  1.41015205e-05  1.75010924e-06 
102.5    -1.34390246e-09  8.98461854e-07  3.81054263e-05  0.92  7.66619612e-06  1.15604682e-04  1.99513547e-05 
103.5    -1.01901721e-09  6.79827099e-07  4.51530159e-05  0.94  5.22679531e-06  1.03768081e-04  1.48707769e-05 
104.5    -4.18859821e-10  1.89817197e-07  3.18890523e-06  0.95  9.38122529e-07  1.79727820e-05  3.06936319e-06 
105.5    -2.54275033e-10  1.20088332e-07  6.60009868e-06  0.96  5.89125254e-07  1.60793935e-05  2.01324949e-06 
106.5    -2.43809593e-10  1.18160635e-07  7.74794070e-06  0.96  5.90449142e-07  1.71502611e-05  2.02761765e-06 
107.5    -2.33163874e-10  1.20516330e-07  9.87441885e-06  0.95  6.87291920e-07  1.96468283e-05  2.19948260e-06 
108.5    -3.69477413e-10  2.17542411e-07  1.10904940e-05  0.96  1.26819431e-06  2.93359918e-05  4.33105561e-06 
109.5    -2.81707873e-10  1.45887138e-07  9.82531461e-06  0.95  7.99552250e-07  2.16613614e-05  2.65626183e-06 
110.5    -9.10934796e-11  1.04423228e-07  1.44644224e-05  0.92  1.08652364e-06  2.42385150e-05  2.83154761e-06 
111.5    -1.66854605e-10  1.18197160e-07  1.27341149e-05  0.95  8.46551633e-07  2.30466373e-05  2.63501974e-06 
112.5    -1.97256040e-10  1.22023811e-07  1.39870362e-05  0.95  8.24895534e-07  2.43389736e-05  2.53311312e-06 
113.5    -1.84532308e-10  1.04923564e-07  7.42101884e-06  0.95  6.63927760e-07  1.61465226e-05  2.06156366e-06 
114.5    -1.82255068e-10  1.00964734e-07  1.09676338e-05  0.95  5.83301149e-07  1.93087339e-05  1.93439818e-06 
115.5    -1.79977830e-10  9.70059057e-08  1.45142487e-05  0.95  5.79507535e-07  2.24709451e-05  1.83114093e-06 
116.5    -1.14063699e-10  6.14789756e-08  2.11095772e-05  0.95  3.67271760e-07  2.61522553e-05  1.16051357e-06 
117.5    -1.19813939e-09  5.28441463e-07  5.22879409e-05  0.95  2.46827715e-06  9.30679497e-05  8.28511607e-06 
118.5    -3.17606335e-10  1.43250820e-07  2.42879319e-05  0.95  6.91404625e-07  3.54273024e-05  2.30120237e-06 
119.5    -5.07968379e-10  2.73788903e-07  3.79524397e-05  0.95  1.63559867e-06  6.04093734e-05  5.16820150e-06 
120.5    -3.91694650e-09  1.76667070e-06  4.67276673e-05  0.95  8.52689227e-06  1.84106284e-04  2.83800599e-05 
121.5    -2.10473407e-08  3.12348452e-05  4.59160841e-03  0.91  3.68717499e-04  7.58824358e-03  9.05917725e-04 
122.5    -9.24069369e-10  4.16785440e-07  4.09787537e-05  0.95  2.01162816e-06  7.33885328e-05  6.69530305e-06 
123.5    -6.22067015e-10  2.80572523e-07  2.53756139e-05  0.95  1.35419220e-06  4.71932990e-05  4.50715857e-06 
124.5    -4.72854326e-10  2.13272731e-07  1.79398692e-05  0.95  1.02936761e-06  3.45242348e-05  3.42604474e-06 
125.5    -2.37088928e-10  1.27788104e-07  2.05651276e-05  0.95  7.63398559e-07  3.10466662e-05  2.41220391e-06 
